piRNA	log2FoldChange	padj
piR-dre-12335	-1.398586552	0.324917974
piR-dre-612713	-1.223591102	0.324917974
piR-dre-10783	1.075305525	0.325371109
piR-dre-86428	-3.163631224	0.325371109
piR-dre-38328	1.678772615	0.326283697
piR-dre-466104	1.635384662	0.326283697
piR-dre-16440	1.595776037	0.326283697
piR-dre-8705	1.669932881	0.326283697
piR-dre-55952	-1.494690488	0.326283697
piR-dre-1326196	-1.623863073	0.326300182
piR-dre-39121	-1.452291836	0.326422537
piR-dre-568740	-1.452291836	0.326422537
piR-dre-14304	-0.762774646	0.327322383
piR-dre-570391	-1.593896843	0.327322383
piR-dre-13395	-1.713162459	0.327322383
piR-dre-50925	-2.517131045	0.327322383
piR-dre-22399	1.534385932	0.328074791
piR-dre-37244	1.563318158	0.329656209
piR-dre-45970	2.086296978	0.329656209
piR-dre-20480	1.295867404	0.329656209
piR-dre-73982	1.623223184	0.329656209
piR-dre-68875	-1.533873072	0.329656209
piR-dre-35408	-1.305724379	0.329978434
piR-dre-36460	1.48774604	0.329978434
piR-dre-12328	-2.060706219	0.329978434
piR-dre-1108692	2.480749715	0.329978434
piR-dre-1141413	-2.22948087	0.329978434
piR-dre-68570	1.91325856	0.329978434
piR-dre-548798	-2.22948087	0.329978434
piR-dre-10974	-1.705064117	0.329978434
piR-dre-775489	-1.770801016	0.330287088
piR-dre-879	-0.969405437	0.331025502
piR-dre-21612	1.151952202	0.331068805
piR-dre-13899	-1.920196035	0.331277378
piR-dre-574630	-2.19427259	0.33164301
piR-dre-430612	1.693381011	0.332012415
piR-dre-881	-0.977045324	0.332012415
piR-dre-86360	2.23655197	0.332012415
piR-dre-11302	-2.141284701	0.332012415
piR-dre-989649	-1.599972516	0.332012415
piR-dre-73490	-1.962695042	0.332012415
piR-dre-55329	-1.464514588	0.332012415
piR-dre-35442	1.330476055	0.332474836
piR-dre-35443	1.330476055	0.332474836
piR-dre-3097	2.350900023	0.332474836
piR-dre-24798	-1.372503742	0.332474836
piR-dre-75259	-1.198652816	0.332474836
piR-dre-58974	1.805761912	0.332474836
piR-dre-22508	-1.667796524	0.332474836
piR-dre-11703	-1.578622326	0.332474836
piR-dre-75803	-1.877298485	0.332474836
piR-dre-491647	-1.749463415	0.332474836
piR-dre-1945	-3.771569512	0.332474836
piR-dre-82912	-1.960364305	0.332483104
